idcar_nat,tmaille,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc
CRS5490RES1000mN1619000E724000,1000,467.5,198,53,53.9,12.9,138.1,43,9365098.1,18292,57.8,140.2,1.8,9.2,35.9,146.1,5,0,9,8,23.2,44.4,25.9,74.1,111.8,93.1,61,16,1
CRS5490RES1000mN1619000E725000,1000,95,35.1,6,10,5,25.1,7,2462781.9,4163,9.1,26,0,0.9,10,24.2,0,0,4.9,2.9,4.9,15.1,9.9,11.1,18.1,13,14.1,1,0
CRS5490RES1000mN1620000E704000,1000,31,12,2.1,4,1,10,1,811468.1,1098,0,12,0,1,0,11,0,0,0,3,1,2.1,1,3.9,7,6,4,3,0
CRS5490RES1000mN1620000E705000,1000,93,42.9,14.2,17,1.8,17.9,9.2,1862036.4,3431,15,27.9,4.1,5,11.8,22,0,0,1.8,0,1.8,5,9.1,13.1,18.9,21.2,14,8.1,0
CRS5490RES1000mN1620000E706000,1000,523,248,52,105.8,16.2,144.8,41,12698470.1,20351.8,103.2,144.8,5.8,32.8,121.3,87.1,1,0,12.1,8.2,41.4,35.9,26,63.3,118.9,84.1,89.1,43.2,0.8
CRS5490RES1000mN1620000E707000,1000,577,242.1,64,81,25.9,155.2,42.1,13755535.8,20444.1,84,158.1,9,25,64,138,6.1,0,14.4,10.1,25.4,45.5,31.6,76,109,100.1,121,43.9,0
CRS5490RES1000mN1620000E708000,1000,329.5,158,25,62.9,10,111.1,25,8145488.1,13919,53.1,104.9,2,16.1,54.9,84,1,0,7,8.9,9,25.4,22.1,46,61.1,59,75,16,0
CRS5490RES1000mN1620000E709000,1000,923,413.9,77.9,155.1,26.9,219,79.9,22171183,34476.1,185,228.9,3.8,63.1,121.9,212.1,13,0,25.6,29.1,61.4,77.9,48.1,132,188,140.9,157,63,0
CRS5490RES1000mN1620000E710000,1000,165,61,11,18.9,11,45.9,6.1,5019900,6845.1,10,51,1,3,17,39,1,0,7,3,12,13,11,22.9,38,25,25,8.1,0
CRS5490RES1000mN1620000E711000,1000,1138.5,520.1,115,188.9,26,345,91,27239394,51346,180,340.1,7,24.9,81.1,368.2,38.9,0,40.4,14,56.6,95.5,72.9,129,252.1,199.1,209.9,69,0
CRS5490RES1000mN1620000E712000,1000,730.5,330.9,93.1,133,23,210.1,46,16454574.8,31142,86,244.9,2,32,71,199.9,26,0,19.5,19,57,53,42,98.1,146.1,122,137.9,34.9,1
