idcar_nat,tmaille,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc
CRS3035RES1000mN2900000E3813000,1000,56,16.9,1.9,1.9,5.1,13.1,0,1403576.5,2198.1,2,14.9,12,0,1.9,3,0,0,3,0,6,10.9,4,7.1,12.9,0,11.1,1,0
CRS3035RES1000mN2900000E3829000,1000,495,199,20,51.9,18.1,160.9,16.9,11572044.5,19640,4.8,194.2,94.1,20.1,41.8,42,1,0,24.2,14.9,37,49.4,37.6,97.8,101.9,66.9,49.1,16.2,0
CRS3035RES1000mN2900000E3830000,1000,154.5,63.9,4.9,21,4,55,5.9,3529819.8,5735,1.9,62,15.9,6,19,23,0,0,11,1,14.5,14.9,11.1,34,30,19,16,3,0
CRS3035RES1000mN2900000E3837000,1000,25,11,4,2.9,1,7.9,0,589423,1302.9,0,11,1,2.1,5,2.9,0,0,4,1,0,0,1,7.1,0,5,4,2.9,0
CRS3035RES1000mN2900000E3952000,1000,57,25.1,3,7.9,1,20.1,1,1254694.9,3015,1,24.1,12,2,7,4.1,0,0,2,2.9,5,4,3,10,10,7.1,10,3,0
CRS3035RES1000mN2900000E3986000,1000,213.5,85,9.1,19.9,8.1,67.1,5,4702668.6,9567,6,79,49,3,12,21,0,0,8.9,2.9,13.5,21.1,20.1,29.9,49,25,34,9.1,0
CRS3035RES1000mN2900000E3987000,1000,410.5,172,18,52,13,127,13,9121405,17712,18,154,80.9,8,56.1,27,0,0,9,6,33,42.4,28,56,79.1,60.1,64.9,32,0
CRS3035RES1000mN2900000E4001000,1000,43.5,23,5,9,0,18,1,874645.1,2844,1,22,22,0,1,0,0,0,1,0,2,2,2.5,5.9,13,6.1,9,2,0
CRS3035RES1000mN2900000E4002000,1000,70,30,2.9,10.1,2.9,24,1.1,1474927.7,4149.9,0.9,29.1,21,0,5,4,0,0,2.9,2.9,4,3,2,11,8.1,21,10,5.1,0
CRS3035RES1000mN2900000E4017000,1000,49,24,2.9,7,0,14,5,1097468.3,2538,9,15,11,1,5,7,0,0,3.5,1,3.5,1,1,10,6,12.1,8,2.9,0
CRS3035RES1000mN2900000E4020000,1000,421,191.1,29.9,64.1,5,121.9,28.9,8683792,15808.1,34,157.1,114,36.2,30.9,10,0,48,16.9,6.5,21.4,42.1,22,92,69.1,68.1,53,29.9,0
CRS3035RES1000mN2900000E4046000,1000,245.5,90.1,3,7,1.9,78,7.9,7843273.1,11727,2,88.1,8.1,6.9,11.1,64,0,0,9,4.9,6,20.6,28,38,63.9,36.1,28,11,0
CRS3035RES1000mN2900000E4047000,1000,270.5,101,7,19,7,86,7,8584529.5,12475.9,0,101,15,9,24.1,52.9,0,0,20,6,26,19.4,14.1,64,49,28,33.9,10.1,0
CRS3035RES1000mN2900000E4070000,1000,239,89.8,9.7,17,6.2,73.9,8.7,5894501,11032.3,6.9,82.9,19.8,8.2,19.8,41,1,0,15,7.1,25.6,15.3,11.1,59.9,40.8,28.9,24.1,11.2,0
CRS3035RES1000mN2900000E4071000,1000,33,13,1,3,1,9,0,800649.9,1459,2,11,0,0,0,13,0,0,0,1,1,4.5,2.5,5,9,7,3,0,0
CRS3035RES1000mN2900000E4072000,1000,74.5,34,6,11,2,24,6,1558199,4290,9,25,14.9,8,6,5.1,0,0,1,1,5,10.5,3.9,9.1,11,17,8,8,0
CRS3035RES1000mN2900000E4073000,1000,87,41,2,8,0,41,3,2356127.9,5199,0,41,1,4,20.9,15.1,0,0,1,0,0.6,5.4,4,6,22.9,14,25.1,8,0
CRS3035RES1000mN2900000E4074000,1000,29,14,0,3,0,14,0,835572.2,1771,0,14,0,0,8.9,5.1,0,0,0,0.9,2,0,1,1,3,10.1,11,0,0
CRS3035RES1000mN2900000E4075000,1000,185,92.9,11.9,35,2,67.1,10,4277507,10259.1,25.9,67,34.9,24.1,17,16,0.9,0,5,2,12.6,8.5,10,24.8,36,30,42,14.1,0
